reactionId	compartment	r ; p	ratelaw
vGac1320	Nucleus	nuc_gene_i__POTEH_ ; nuc_gene_a__POTEH_	kGac1320 * nuc_gene_i__POTEH_
vGac1321	Nucleus	nuc_gene_i__DSG2_ ; nuc_gene_a__DSG2_	kGac1321 * nuc_gene_i__DSG2_
vGac1322	Nucleus	nuc_gene_i__IGLL5_ ; nuc_gene_a__IGLL5_	kGac1322 * nuc_gene_i__IGLL5_
vGac1323	Nucleus	nuc_gene_i__MLLT6_ ; nuc_gene_a__MLLT6_	kGac1323 * nuc_gene_i__MLLT6_
vGac1324	Nucleus	nuc_gene_i__MARF1_ ; nuc_gene_a__MARF1_	kGac1324 * nuc_gene_i__MARF1_
vGac1325	Nucleus	nuc_gene_i__ZNHIT3_ ; nuc_gene_a__ZNHIT3_	kGac1325 * nuc_gene_i__ZNHIT3_
vGac1326	Nucleus	nuc_gene_i__SERPINB8_ ; nuc_gene_a__SERPINB8_	kGac1326 * nuc_gene_i__SERPINB8_
vGac1327	Nucleus	nuc_gene_i__TTR_ ; nuc_gene_a__TTR_	kGac1327 * nuc_gene_i__TTR_
vGac1328	Nucleus	nuc_gene_i__TEX29_ ; nuc_gene_a__TEX29_	kGac1328 * nuc_gene_i__TEX29_
vGac1329	Nucleus	nuc_gene_i__ABCC1_ ; nuc_gene_a__ABCC1_	kGac1329 * nuc_gene_i__ABCC1_
vGac1330	Nucleus	nuc_gene_i__TADA2A_ ; nuc_gene_a__TADA2A_	kGac1330 * nuc_gene_i__TADA2A_
vGac1331	Nucleus	nuc_gene_i__CLDN10_ ; nuc_gene_a__CLDN10_	kGac1331 * nuc_gene_i__CLDN10_
vGac1332	Nucleus	nuc_gene_i__RIMBP3_ ; nuc_gene_a__RIMBP3_	kGac1332 * nuc_gene_i__RIMBP3_
vGac1333	Nucleus	nuc_gene_i__EEF1AKMT1_ ; nuc_gene_a__EEF1AKMT1_	kGac1333 * nuc_gene_i__EEF1AKMT1_
vGac1334	Nucleus	nuc_gene_i__MRM1_ ; nuc_gene_a__MRM1_	kGac1334 * nuc_gene_i__MRM1_
vGac1335	Nucleus	nuc_gene_i__MSL3_ ; nuc_gene_a__MSL3_	kGac1335 * nuc_gene_i__MSL3_
vGac1336	Nucleus	nuc_gene_i__GGNBP2_ ; nuc_gene_a__GGNBP2_	kGac1336 * nuc_gene_i__GGNBP2_
vGac1337	Nucleus	nuc_gene_i__RGL4_ ; nuc_gene_a__RGL4_	kGac1337 * nuc_gene_i__RGL4_
vGac1338	Nucleus	nuc_gene_i__VPREB3_ ; nuc_gene_a__VPREB3_	kGac1338 * nuc_gene_i__VPREB3_
vGac1339	Nucleus	nuc_gene_i__CCL15_ ; nuc_gene_a__CCL15_	kGac1339 * nuc_gene_i__CCL15_
