index	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_
2340.000000	0.119123	89.0776	6.72475	0.00017253	0.00172527	0.00017253	0.00172527	0.00394546	0.00394546
2370.000000	0.120719	88.9459	6.83147	0.000172529	0.00172527	0.000172529	0.00172527	0.00396541	0.00396541
2400.000000	0.122325	88.8144	6.93862	0.000172529	0.00172527	0.000172529	0.00172527	0.00398533	0.00398533
2430.000000	0.123939	88.683	7.04619	0.000172529	0.00172527	0.000172529	0.00172527	0.00400521	0.00400521
2460.000000	0.125562	88.5519	7.15418	0.000172529	0.00172527	0.000172529	0.00172527	0.00402507	0.00402507
2490.000000	0.127194	88.421	7.2626	0.000172528	0.00172527	0.000172528	0.00172527	0.0040449	0.0040449
2520.000000	0.128835	88.2903	7.37143	0.000172528	0.00172527	0.000172528	0.00172527	0.00406469	0.00406469
2550.000000	0.130484	88.1598	7.48069	0.000172528	0.00172528	0.000172528	0.00172528	0.00408446	0.00408446
2580.000000	0.132143	88.0295	7.59036	0.000172528	0.00172528	0.000172528	0.00172528	0.0041042	0.0041042
2610.000000	0.133811	87.8995	7.70044	0.000172528	0.00172528	0.000172528	0.00172528	0.00412391	0.00412391
2640.000000	0.135488	87.7696	7.81095	0.000172528	0.00172528	0.000172528	0.00172528	0.00414359	0.00414359
2670.000000	0.137174	87.6399	7.92186	0.000172528	0.00172528	0.000172528	0.00172528	0.00416323	0.00416323
2700.000000	0.138869	87.5105	8.03318	0.000172528	0.00172528	0.000172528	0.00172528	0.00418285	0.00418285
2730.000000	0.140572	87.3812	8.14491	0.000172528	0.00172528	0.000172528	0.00172528	0.00420244	0.00420244
2760.000000	0.142285	87.2522	8.25705	0.000172528	0.00172528	0.000172528	0.00172528	0.00422201	0.00422201
2790.000000	0.144007	87.1233	8.3696	0.000172528	0.00172528	0.000172528	0.00172528	0.00424154	0.00424154
2820.000000	0.145738	86.9947	8.48255	0.000172528	0.00172528	0.000172528	0.00172528	0.00426104	0.00426104
2850.000000	0.147478	86.8662	8.59591	0.000172528	0.00172528	0.000172528	0.00172528	0.00428051	0.00428051
2880.000000	0.149228	86.738	8.70966	0.000172528	0.00172528	0.000172528	0.00172528	0.00429996	0.00429996
2910.000000	0.150986	86.61	8.82382	0.000172528	0.00172528	0.000172528	0.00172528	0.00431937	0.00431937
2940.000000	0.152753	86.4822	8.93837	0.000172528	0.00172528	0.000172528	0.00172528	0.00433876	0.00433876
2970.000000	0.15453	86.3545	9.05333	0.000172528	0.00172528	0.000172528	0.00172528	0.00435811	0.00435811
3000.000000	0.156315	86.2271	9.16867	0.000172528	0.00172528	0.000172528	0.00172528	0.00437744	0.00437744
3030.000000	0.15811	86.0999	9.28442	0.000172528	0.00172528	0.000172528	0.00172528	0.00439674	0.00439674
3060.000000	0.159914	85.9729	9.40055	0.000172528	0.00172528	0.000172528	0.00172528	0.00441601	0.00441601
3090.000000	0.161727	85.8461	9.51708	0.000172528	0.00172528	0.000172528	0.00172528	0.00443525	0.00443525
3120.000000	0.16355	85.7195	9.63399	0.000172528	0.00172528	0.000172528	0.00172528	0.00445446	0.00445446
3150.000000	0.165381	85.5931	9.7513	0.000172528	0.00172528	0.000172528	0.00172528	0.00447364	0.00447364
3180.000000	0.167222	85.4669	9.86899	0.000172528	0.00172528	0.000172528	0.00172528	0.0044928	0.0044928
3210.000000	0.169072	85.3409	9.98707	0.000172528	0.00172528	0.000172528	0.00172528	0.00451192	0.00451192
3240.000000	0.170931	85.2151	10.1055	0.000172528	0.00172528	0.000172528	0.00172528	0.00453102	0.00453102
3270.000000	0.172799	85.0894	10.2244	0.000172528	0.00172528	0.000172528	0.00172528	0.00455009	0.00455009
3300.000000	0.174677	84.964	10.3436	0.000172528	0.00172528	0.000172528	0.00172528	0.00456913	0.00456913
3330.000000	0.176564	84.8388	10.4632	0.000172528	0.00172528	0.000172528	0.00172528	0.00458814	0.00458814
3360.000000	0.17846	84.7138	10.5832	0.000172528	0.00172528	0.000172528	0.00172528	0.00460712	0.00460712
3390.000000	0.180365	84.589	10.7035	0.000172528	0.00172528	0.000172528	0.00172528	0.00462608	0.00462608
3420.000000	0.18228	84.4644	10.8243	0.000172528	0.00172528	0.000172528	0.00172528	0.004645	0.004645
3450.000000	0.184204	84.34	10.9454	0.000172528	0.00172528	0.000172528	0.00172528	0.0046639	0.0046639
3480.000000	0.186137	84.2158	11.0669	0.000172528	0.00172528	0.000172528	0.00172528	0.00468277	0.00468277
3510.000000	0.18808	84.0918	11.1887	0.000172528	0.00172528	0.000172528	0.00172528	0.00470161	0.00470161
3540.000000	0.190032	83.968	11.3109	0.000172528	0.00172528	0.000172528	0.00172528	0.00472042	0.00472042
3570.000000	0.191994	83.8444	11.4335	0.000172528	0.00172528	0.000172528	0.00172528	0.00473921	0.00473921
3600.000000	0.193964	83.721	11.5565	0.000172528	0.00172528	0.000172528	0.00172528	0.00475796	0.00475796
3630.000000	0.195945	83.5978	11.6798	0.000172528	0.00172528	0.000172528	0.00172528	0.00477669	0.00477669
3660.000000	0.197934	83.4747	11.8035	0.000172528	0.00172528	0.000172528	0.00172528	0.00479539	0.00479539
3690.000000	0.199933	83.3519	11.9275	0.000172528	0.00172528	0.000172528	0.00172528	0.00481406	0.00481406
3720.000000	0.201941	83.2293	12.0519	0.000172528	0.00172528	0.000172528	0.00172528	0.00483271	0.00483271
3750.000000	0.203959	83.1069	12.1767	0.000172528	0.00172528	0.000172528	0.00172528	0.00485132	0.00485132
3780.000000	0.205986	82.9846	12.3018	0.000172528	0.00172528	0.000172528	0.00172528	0.00486991	0.00486991
3810.000000	0.208023	82.8626	12.4273	0.000172528	0.00172528	0.000172528	0.00172528	0.00488847	0.00488847
3840.000000	0.210069	82.7408	12.5531	0.000172528	0.00172528	0.000172528	0.00172528	0.004907	0.004907
3870.000000	0.212125	82.6191	12.6793	0.000172528	0.00172528	0.000172528	0.00172528	0.00492551	0.00492551
