index	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	
51990.000000	0	2	0	2	3	2	5.90682	2.30876	13.0712	
52020.000000	0	2	0	2	3	2	6.05315	2.22853	12.9249	
52050.000000	0	2	0	2	3	2	6.18962	2.15715	12.7884	
52080.000000	0	2	0	2	3	2	6.31666	2.0935	12.6614	
52110.000000	0	2	0	2	3	2	6.43471	2.03662	12.5433	
52140.000000	0	2	0	2	3	2	6.54425	1.98569	12.4338	
52170.000000	0	2	0	2	3	2	6.64575	1.94	12.3323	
52200.000000	0	2	0	2	3	2	6.7397	1.89895	12.2383	
52230.000000	0	2	0	2	3	2	6.82658	1.862	12.1515	
52260.000000	0	2	0	2	3	2	6.90684	1.82869	12.0712	
52290.000000	0	2	0	2	3	2	6.98093	1.79863	11.9971	
52320.000000	0	2	1	1	3	2	7.04928	1.77147	11.9288	
52350.000000	0	2	1	1	3	2	7.11228	1.74689	11.8658	
52380.000000	0	2	1	1	3	2	7.17033	1.72464	11.8077	
52410.000000	0	2	1	1	3	2	7.22378	1.70446	11.7543	
52440.000000	0	2	1	1	3	2	7.27298	1.68615	11.7051	
52470.000000	0	2	1	1	3	2	7.31824	1.66952	11.6598	
52500.000000	0	2	1	1	3	2	7.35988	1.65441	11.6182	
52530.000000	0	2	1	1	3	2	7.39815	1.64067	11.5799	
52560.000000	0	2	1	1	3	2	7.43333	1.62817	11.5447	
52590.000000	0	2	0	2	3	2	7.46565	1.61678	11.5124	
52620.000000	0	2	0	2	3	2	7.49534	1.60641	11.4827	
52650.000000	0	2	0	2	3	2	7.5226	1.59696	11.4554	
52680.000000	0	2	0	2	3	2	7.54763	1.58835	11.4304	
52710.000000	0	2	0	2	3	2	7.57061	1.58049	11.4074	
52740.000000	0	2	0	2	3	2	7.59169	1.57332	11.3863	
52770.000000	0	2	0	2	3	2	7.61104	1.56678	11.367	
52800.000000	0	2	0	2	3	2	7.6288	1.5608	11.3492	
52830.000000	0	2	0	2	3	2	7.64508	1.55535	11.333	
52860.000000	0	2	0	2	3	2	7.66001	1.55036	11.318	
52890.000000	0	2	0	2	3	2	7.67371	1.54581	11.3043	
52920.000000	1	1	0	2	3	2	7.68627	1.54165	11.2918	
52950.000000	1	1	0	2	3	2	7.69778	1.53785	11.2802	
52980.000000	1	1	0	2	3	2	7.70834	1.53437	11.2697	
53010.000000	1	1	0	2	3	2	7.71801	1.53119	11.26	
53040.000000	1	1	0	2	3	2	7.72688	1.52829	11.2512	
53070.000000	1	1	0	2	3	2	7.735	1.52563	11.243	
